0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y
120.264776,1062.182331,122.303741,1062.182331,121.539129,1062.182331,120.009906,1062.182331,120.519647,1062.182331,122.558612,1062.182331,121.794000,1062.182331,122.303741,1062.182331
123.323224,1062.182331,124.342706,1062.182331,124.597577,1062.182331,120.774517,1062.182331,122.303741,1062.182331,125.362189,1062.182331,123.832965,1062.182331,125.107318,1062.182331
125.362189,1062.182331,127.656024,1062.182331,126.126801,1062.182331,124.597577,1062.182331,124.852448,1062.182331,127.401154,1062.182331,126.891413,1062.182331,128.165766,1062.182331
127.401154,1062.182331,129.440119,1062.182331,128.675507,1062.182331,126.891413,1062.182331,127.910895,1062.182331,129.949860,1062.182331,129.185248,1062.182331,129.440119,1062.182331
130.714472,1062.182331,132.243696,1062.182331,132.243696,1062.182331,129.440119,1062.182331,129.440119,1062.182331,132.753437,1062.182331,131.479084,1062.182331,133.008308,1062.182331
132.753437,1062.182331,135.557014,1062.182331,133.518049,1062.182331,131.733955,1062.182331,133.263178,1062.182331,135.047273,1062.182331,134.027790,1062.182331,134.537531,1062.182331
135.302143,1062.182331,137.341108,1062.182331,136.831367,1062.182331,134.282661,1062.182331,135.302143,1062.182331,137.595979,1062.182331,135.811885,1062.182331,137.595979,1062.182331
138.615462,1062.182331,139.634944,1062.182331,139.634944,1062.182331,137.086238,1062.182331,137.341108,1062.182331,139.889815,1062.182331,138.870332,1062.182331,139.889815,1062.182331
140.399556,1062.182331,142.693392,1062.182331,141.164168,1062.182331,138.870332,1062.182331,140.144685,1062.182331,142.948262,1062.182331,141.419038,1062.182331,142.948262,1062.182331
142.693392,1062.182331,144.222615,1062.182331,143.967745,1062.182331,142.438521,1062.182331,142.948262,1062.182331,144.477486,1062.182331,144.987227,1062.182331,144.987227,1062.182331
144.987227,1062.182331,147.790804,1062.182331,147.281063,1062.182331,144.477486,1062.182331,145.496969,1062.182331,148.555416,1062.182331,146.006710,1062.182331,147.281063,1062.182331
148.810287,1062.182331,149.829769,1062.182331,148.810287,1062.182331,146.771322,1062.182331,147.281063,1062.182331,150.084640,1062.182331,150.084640,1062.182331,150.339511,1062.182331
150.084640,1062.182331,151.358993,1062.182331,151.358993,1062.182331,149.574899,1062.182331,150.594381,1062.182331,152.888217,1062.182331,151.613864,1062.182331,152.123605,1062.182331
153.652829,1062.182331,155.436923,1062.182331,154.417441,1062.182331,152.378476,1062.182331,152.378476,1062.182331,155.182052,1062.182331,154.672311,1062.182331,155.691794,1062.182331
155.182052,1062.182331,157.475888,1062.182331,155.946664,1062.182331,154.927182,1062.182331,155.436923,1062.182331,157.475888,1062.182331,156.456406,1062.182331,157.730759,1062.182331
157.985629,1062.182331,159.769724,1062.182331,159.514853,1062.182331,157.221018,1062.182331,158.495371,1062.182331,160.534336,1062.182331,160.024594,1062.182331,161.298948,1062.182331
161.044077,1062.182331,162.318430,1062.182331,161.808689,1062.182331,159.259983,1062.182331,159.769724,1062.182331,163.083042,1062.182331,161.553818,1062.182331,162.318430,1062.182331
163.337913,1062.182331,164.867136,1062.182331,163.592783,1062.182331,162.573301,1062.182331,162.573301,1062.182331,165.376878,1062.182331,164.357395,1062.182331,165.886619,1062.182331
165.631748,1062.182331,167.415843,1062.182331,166.651231,1062.182331,164.867136,1062.182331,165.376878,1062.182331,167.415843,1062.182331,167.415843,1062.182331,168.435325,1062.182331
168.435325,1062.182331,170.219420,1062.182331,169.964549,1062.182331,167.160972,1062.182331,167.670713,1062.182331,170.984032,1062.182331,169.454808,1062.182331,169.964549,1062.182331
