0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y
120.009906,1062.182331,121.539129,1062.182331,121.029388,1062.182331,121.284259,1062.182331
122.558612,1062.182331,123.578094,1062.182331,123.323224,1062.182331,123.068353,1062.182331
125.617059,1062.182331,126.891413,1062.182331,126.636542,1062.182331,126.381671,1062.182331
127.401154,1062.182331,129.185248,1062.182331,128.930378,1062.182331,128.675507,1062.182331
130.969343,1062.182331,132.498566,1062.182331,131.224213,1062.182331,131.479084,1062.182331
132.243696,1062.182331,134.792402,1062.182331,133.772920,1062.182331,134.282661,1062.182331
135.557014,1062.182331,136.831367,1062.182331,136.321626,1062.182331,135.811885,1062.182331
138.105720,1062.182331,138.870332,1062.182331,139.380073,1062.182331,139.634944,1062.182331
140.654427,1062.182331,142.438521,1062.182331,141.419038,1062.182331,140.909297,1062.182331
142.438521,1062.182331,144.987227,1062.182331,143.458004,1062.182331,144.477486,1062.182331
145.496969,1062.182331,147.535934,1062.182331,146.771322,1062.182331,145.496969,1062.182331
148.300545,1062.182331,149.320028,1062.182331,149.065157,1062.182331,149.065157,1062.182331
149.829769,1062.182331,151.358993,1062.182331,151.358993,1062.182331,151.358993,1062.182331
153.397958,1062.182331,154.162570,1062.182331,153.143087,1062.182331,153.397958,1062.182331
155.182052,1062.182331,157.730759,1062.182331,157.475888,1062.182331,156.966147,1062.182331
158.240500,1062.182331,160.279465,1062.182331,159.259983,1062.182331,158.240500,1062.182331
161.044077,1062.182331,161.808689,1062.182331,161.044077,1062.182331,161.808689,1062.182331
162.573301,1062.182331,164.357395,1062.182331,164.102525,1062.182331,164.102525,1062.182331
165.376878,1062.182331,167.160972,1062.182331,166.906101,1062.182331,166.396360,1062.182331
168.180455,1062.182331,169.709678,1062.182331,169.199937,1062.182331,168.945066,1062.182331
171.238902,1062.182331,173.022997,1062.182331,171.493773,1062.182331,171.238902,1062.182331
172.258385,1062.182331,174.807091,1062.182331,174.042479,1062.182331,174.042479,1062.182331
176.081444,1062.182331,176.846056,1062.182331,176.846056,1062.182331,175.826573,1062.182331
177.610668,1062.182331,179.904504,1062.182331,178.375280,1062.182331,179.139892,1062.182331
180.669115,1062.182331,182.962951,1062.182331,181.688598,1062.182331,181.688598,1062.182331
182.453210,1062.182331,184.747046,1062.182331,183.982434,1062.182331,183.472692,1062.182331
185.511657,1062.182331,186.786011,1062.182331,186.786011,1062.182331,186.276269,1062.182331
187.805493,1062.182331,189.844458,1062.182331,188.824976,1062.182331,188.824976,1062.182331
190.609070,1062.182331,192.138294,1062.182331,192.648035,1062.182331,191.883423,1062.182331
193.667518,1062.182331,194.941871,1062.182331,193.922388,1062.182331,193.412647,1062.182331
195.961353,1062.182331,196.980836,1062.182331,196.216224,1062.182331,196.471094,1062.182331
198.510060,1062.182331,199.784413,1062.182331,199.274671,1062.182331,199.019801,1062.182331
200.803895,1062.182331,202.842860,1062.182331,202.078248,1062.182331,201.568507,1062.182331
203.607472,1062.182331,205.646437,1062.182331,204.626955,1062.182331,205.136696,1062.182331
204.626955,1062.182331,207.175661,1062.182331,206.156178,1062.182331,206.156178,1062.182331
208.450014,1062.182331,209.469497,1062.182331,209.979238,1062.182331,209.214626,1062.182331
