0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y
122.303741,6.430333,120.774517,5.921169,120.774517,9.739900,120.009906,13.304050,121.539129,31.379379,120.519647,123.538102,122.558612,262.539933,121.539129,233.262990
124.597577,6.430333,123.068353,11.521975,122.048871,14.576960,122.303741,20.177767,123.323224,34.434365,122.813483,132.193894,124.852448,268.140739,122.558612,240.391289
126.891413,11.012811,125.617059,14.576960,125.617059,14.322378,124.597577,23.232752,125.617059,43.853903,125.617059,138.303864,127.146283,273.486963,126.126801,244.210021
129.949860,12.794886,128.420636,14.322378,127.146283,27.560648,127.656024,28.324394,128.675507,52.764276,128.675507,145.177581,129.694990,280.106098,127.910895,251.338320
131.988825,18.141110,130.714472,17.631946,130.714472,26.542319,129.949860,37.998514,131.224213,59.128829,130.714472,151.032970,132.498566,284.943158,130.714472,255.411634
134.792402,25.014827,133.518049,23.741916,133.008308,36.980186,132.498566,42.071828,133.263178,68.039203,133.772920,159.943344,135.557014,291.816875,132.753437,261.521604
138.105720,26.287737,135.302143,33.161454,135.302143,40.544335,135.557014,53.528023,136.831367,75.676666,135.557014,165.544150,137.086238,297.163099,136.321626,266.358664
139.125203,37.234768,138.615462,33.670618,138.105720,50.982202,138.360591,56.073844,138.870332,83.568711,137.595979,174.199942,140.399556,303.782234,138.105720,272.214053
141.928780,41.053499,140.909297,45.381395,140.909297,54.546351,140.909297,67.530039,141.673909,92.733667,140.654427,179.546166,142.438521,307.855548,140.909297,277.305695
145.242098,49.963873,142.948262,46.399724,143.458004,64.475053,143.458004,72.112517,143.967745,100.116548,142.693392,188.201957,144.987227,315.493011,143.203133,281.888173
147.026192,52.000530,146.771322,59.383411,144.987227,70.585024,146.006710,82.295801,145.751839,108.008594,144.987227,193.802764,147.790804,319.820907,145.496969,288.507308
150.084640,61.420068,148.300545,60.401740,148.300545,79.749980,148.045675,86.878279,149.320028,115.646057,147.535934,201.694809,149.829769,325.167131,148.555416,291.053129
152.633346,66.002546,150.849252,74.403756,150.084640,87.132861,151.104122,97.570727,151.358993,123.538102,150.084640,207.295615,152.888217,332.295430,151.104122,298.690592
155.691794,76.185830,154.162570,75.676666,153.143087,95.534070,152.888217,104.189862,153.397958,132.193894,153.143087,214.169332,155.691794,336.368744,153.143087,302.509324
157.985629,83.314129,155.691794,86.623697,155.691794,105.462773,155.182052,113.863982,156.966147,140.085939,155.436923,220.279303,157.730759,344.260789,156.201535,309.383040
159.769724,90.951592,158.240500,92.479085,158.495371,110.299833,157.221018,120.737699,158.750241,148.487149,158.750241,225.116363,160.279465,347.315774,159.005112,312.947190
163.337913,101.644041,161.298948,102.662369,160.024594,122.010610,159.769724,129.648073,161.044077,156.888358,161.044077,232.244662,162.318430,354.953238,160.789206,319.820907
164.867136,106.735683,162.828171,111.572743,163.847654,128.629744,163.083042,137.794700,164.612266,165.544150,163.592783,237.590886,165.886619,360.299462,164.102525,324.403385
167.925584,121.501445,166.141490,118.955624,165.886619,136.776372,165.631748,146.705074,166.651231,172.417867,165.886619,244.719185,167.415843,366.664015,165.886619,330.004191
170.729161,124.811013,168.435325,127.865998,168.435325,145.686746,168.945066,154.597119,168.945066,181.837405,167.925584,250.574574,170.474290,372.264821,168.945066,334.841251
172.003514,136.776372,171.493773,136.776372,170.984032,154.087955,170.474290,161.980000,172.513255,188.711122,170.984032,258.466619,172.768126,377.101881,170.474290,339.932893
175.571703,143.140924,173.532738,145.432163,173.532738,162.489165,174.042479,170.126628,173.787608,196.094003,173.277867,264.067425,175.571703,383.975598,174.297350,345.533700
177.865539,153.833373,176.336315,153.578791,175.826573,170.635792,175.826573,178.782419,176.591185,203.731466,175.571703,270.686560,178.375280,387.794329,176.081444,348.843267
179.649633,160.197926,179.649633,162.234583,178.375280,178.527837,177.865539,187.692793,179.649633,210.859765,178.375280,276.287367,180.159374,395.177211,178.630150,356.735312
183.472692,169.362882,180.923986,170.381210,181.688598,186.929047,180.159374,195.075674,181.433727,217.988064,181.433727,280.615262,182.962951,399.250524,181.433727,360.044880
185.256787,177.254927,183.727563,179.546166,182.962951,194.566510,183.472692,202.967720,184.747046,223.843452,183.472692,288.252726,185.766528,406.124241,183.982434,366.918597
187.295752,186.419883,186.786011,187.183629,186.786011,201.949391,185.766528,210.096019,187.295752,231.226334,185.766528,292.835203,188.060364,411.725048,186.531140,370.737328
191.118811,194.821092,188.060364,195.075674,188.060364,209.077690,188.824976,217.733482,189.589587,238.863797,188.315234,300.981831,190.609070,418.089600,188.824976,378.120209
