0_x,0_y
0.220710,-8.590011
0.220710,64.729635
4.298640,138.303864
4.808381,211.623511
8.376570,285.452322
9.141182,358.771969
12.199629,431.582452
13.219112,505.920427
15.512947,579.240074
17.297042,652.559721
19.590878,727.152278
21.120101,799.453597
23.413937,873.791572
24.943161,947.365801
27.746738,1020.430866
29.785703,1062.182331
30.550315,1062.182331
33.608762,1062.182331
34.628245,1062.182331
37.686692,1062.182331
38.961045,1062.182331
41.254881,1062.182331
43.548717,1062.182331
45.077940,1062.182331
47.116906,1062.182331
48.391259,1062.182331
51.704577,1062.182331
52.214318,1062.182331
55.527636,1062.182331
56.547119,1062.182331
58.586084,1062.182331
61.134790,1062.182331
62.664014,1062.182331
65.212720,1062.182331
66.232203,1062.182331
69.035780,1062.182331
70.565003,1062.182331
72.349098,1062.182331
74.642934,1062.182331
76.427028,1062.182331
78.975734,1062.182331
79.740346,1062.182331
82.798794,1062.182331
83.818276,1062.182331
86.112112,1062.182331
88.405948,1062.182331
89.935171,1062.182331
91.974136,1062.182331
93.503360,1062.182331
96.052066,1062.182331
97.581290,1062.182331
99.365385,1062.182331
101.914091,1062.182331
103.188444,1062.182331
105.482280,1062.182331
107.266374,1062.182331
109.050469,1062.182331
111.344304,1062.182331
112.873528,1062.182331
114.912493,1062.182331
117.206329,1062.182331
118.990423,1062.182331
120.774517,1062.182331
122.558612,1062.182331
125.362189,1062.182331
126.891413,1062.182331
128.675507,1062.182331
130.714472,1062.182331
131.733955,1062.182331
134.537531,1062.182331
136.321626,1062.182331
137.850850,1062.182331
139.889815,1062.182331
141.164168,1062.182331
143.967745,1062.182331
145.751839,1062.182331
147.281063,1062.182331
149.829769,1062.182331
150.594381,1062.182331
152.888217,1062.182331
155.691794,1062.182331
156.201535,1062.182331
159.259983,1062.182331
160.279465,1062.182331
162.573301,1062.182331
165.376878,1062.182331
165.886619,1062.182331
169.199937,1062.182331
169.964549,1062.182331
172.513255,1062.182331
175.061962,1062.182331
175.571703,1062.182331
178.120409,1062.182331
180.159374,1062.182331
181.433727,1062.182331
183.727563,1062.182331
184.747046,1062.182331
187.550622,1062.182331
189.589587,1062.182331
191.118811,1062.182331
193.157776,1062.182331
195.451612,1062.182331
196.216224,1062.182331
198.764930,1062.182331
200.803895,1062.182331
202.078248,1062.182331
205.136696,1062.182331
205.901308,1062.182331
207.685402,1062.182331
209.979238,1062.182331
210.998720,1062.182331
214.057168,1062.182331
215.331521,1062.182331
216.351004,1062.182331
219.664322,1062.182331
220.938675,1062.182331
218.644839,1062.182331
216.860745,1062.182331
213.802297,1062.182331
212.018203,1062.182331
209.214626,1062.182331
206.920790,1062.182331
205.391567,1062.182331
202.842860,1062.182331
200.294154,1062.182331
198.510060,1062.182331
195.961353,1062.182331
193.412647,1062.182331
192.138294,1062.182331
188.570105,1062.182331
187.295752,1062.182331
185.766528,1062.182331
181.943469,1062.182331
180.669115,1062.182331
178.885021,1062.182331
175.826573,1062.182331
174.297350,1062.182331
172.258385,1062.182331
