0_x,0_y
120.009906,9.230736
121.029388,6.939497
120.519647,11.267393
121.029388,6.939497
121.284259,13.304050
121.539129,6.684915
122.303741,13.304050
122.048871,10.249065
122.558612,12.794886
123.578094,10.503647
123.323224,12.285721
123.068353,13.304050
124.342706,9.739900
124.342706,8.976154
123.578094,8.976154
125.107318,12.031139
125.871930,9.994482
125.617059,18.904856
125.617059,8.466990
126.381671,17.631946
126.891413,9.230736
127.146283,17.122781
127.401154,15.595289
127.910895,16.104453
127.910895,15.595289
127.401154,15.595289
128.675507,19.668602
128.930378,16.104453
128.675507,18.650274
129.185248,16.613617
130.459601,17.122781
129.694990,18.650274
129.694990,21.705259
131.224213,20.432349
130.969343,20.177767
130.969343,23.741916
132.498566,21.705259
131.224213,24.251080
131.988825,22.723588
132.753437,21.196095
133.008308,21.959841
132.753437,23.741916
133.772920,24.760245
134.027790,21.959841
133.772920,29.342723
134.792402,21.196095
134.537531,30.361051
134.792402,21.450677
135.557014,27.306066
136.066755,20.432349
135.811885,27.306066
136.321626,23.996498
136.576497,29.342723
136.831367,28.069812
137.341108,30.106469
137.341108,32.143126
137.850850,31.379379
138.105720,36.980186
138.615462,29.342723
138.615462,36.980186
139.125203,29.342723
139.380073,37.998514
139.889815,32.652290
139.889815,37.998514
140.654427,35.198111
140.654427,35.961857
140.909297,37.234768
141.673909,37.743932
141.419038,40.289753
141.928780,38.507678
142.438521,39.526007
143.203133,40.289753
143.203133,40.035171
143.458004,41.562664
144.222615,38.507678
144.477486,46.145142
143.967745,41.817246
144.732357,50.218455
145.496969,42.580992
144.987227,49.454709
146.261580,43.090156
145.751839,50.727620
145.751839,46.908888
147.026192,48.436381
146.516451,48.690963
146.771322,51.236784
148.045675,53.273441
146.771322,50.473037
148.300545,57.855919
148.555416,51.491366
147.790804,59.128829
149.320028,53.273441
149.320028,59.637993
149.065157,53.273441
150.594381,61.420068
150.084640,57.092172
150.084640,64.475053
150.849252,63.711307
150.594381,62.692979
151.613864,65.238800
152.123605,65.238800
151.868734,68.039203
152.378476,66.002546
152.633346,66.257128
153.143087,66.511710
153.652829,68.548367
153.143087,71.857934
153.907699,74.403756
154.162570,74.403756
154.162570,74.658338
155.182052,77.713323
155.182052,77.967905
156.201535,80.259144
155.691794,78.222487
155.436923,78.731651
157.221018,79.495398
156.456406,81.277472
156.711276,84.841622
158.240500,83.314129
157.221018,86.369115
158.240500,85.605368
158.750241,87.132861
157.730759,86.114532
157.985629,88.405771
157.730759,82.041219
157.221018,86.623697
157.221018,80.004562
155.946664,81.022890
155.946664,82.804965
155.946664,78.477069
155.436923,79.495398
154.927182,76.185830
154.417441,77.458741
153.652829,72.367099
154.162570,74.149173
153.397958,68.293785
153.143087,71.857934
152.123605,68.293785
152.633346,68.293785
152.123605,68.039203
150.849252,68.293785
151.868734,67.275457
150.339511,63.711307
150.339511,63.456725
150.594381,60.401740
149.320028,60.147158
149.829769,60.656322
149.065157,55.310097
148.810287,60.147158
148.045675,53.273441
147.281063,58.110501
147.790804,52.255112
147.281063,56.837590
147.281063,48.945545
147.026192,52.255112
146.006710,44.108485
146.006710,49.200127
145.496969,45.635977
145.496969,45.381395
145.242098,48.436381
143.967745,43.853903
144.987227,48.690963
143.967745,40.544335
143.458004,49.454709
143.203133,37.998514
142.438521,45.126813
142.948262,36.725604
142.693392,44.108485
142.183650,38.762261
141.164168,40.289753
140.909297,39.271425
141.673909,38.762261
139.889815,38.253096
140.909297,35.198111
140.399556,34.943529
138.870332,31.379379
139.634944,33.670618
138.105720,32.143126
138.615462,31.633962
138.360591,32.397708
137.850850,29.088140
137.850850,34.434365
137.086238,29.597305
136.576497,33.161454
136.321626,27.051484
136.321626,29.851887
136.321626,26.796901
134.792402,28.833558
136.066755,27.306066
135.302143,24.760245
134.537531,30.106469
135.302143,23.232752
133.263178,29.597305
134.027790,20.432349
133.008308,26.796901
132.753437,18.904856
133.772920,26.542319
131.733955,17.886528
131.988825,22.214424
130.969343,18.650274
131.479084,22.214424
130.204731,19.668602
130.459601,20.177767
130.714472,21.196095
129.185248,18.904856
129.694990,20.432349
129.440119,16.359035
128.675507,19.159438
129.694990,15.340707
127.910895,18.141110
128.420636,18.141110
127.910895,17.886528
127.656024,20.941513
126.636542,16.359035
126.636542,17.122781
126.636542,15.340707
125.871930,16.613617
125.871930,14.322378
125.362189,12.285721
124.597577,14.322378
125.362189,11.267393
124.087836,17.631946
124.342706,11.012811
123.323224,17.122781
123.068353,8.466990
122.813483,12.540303
122.813483,7.194079
122.813483,13.049468
121.539129,6.684915
122.558612,11.267393
121.284259,5.412004
121.284259,8.976154
121.029388,9.739900
120.519647,8.212408
120.264776,12.031139
119.500164,5.666587
119.245294,13.813214
118.990423,4.393676
118.990423,9.485318
118.990423,3.375348
117.970941,11.012811
118.480682,5.412004
117.206329,8.721572
117.206329,7.448661
116.951458,7.448661
115.931976,7.703243
116.951458,6.684915
115.931976,5.412004
115.677105,5.666587
115.422234,4.393676
115.167364,4.139094
114.147881,4.648258
113.638140,7.194079
114.657622,3.375348
113.638140,7.448661
113.638140,3.120766
112.873528,7.703243
112.363787,3.375348
112.873528,5.666587
111.344304,2.357019
111.344304,4.902840
110.834563,3.120766
110.579692,5.157422
110.324822,5.666587
110.579692,3.375348
110.069951,2.866183
109.050469,0.574944
110.069951,6.175751
108.795598,0.574944
108.795598,5.157422
108.285857,-1.716295
108.030986,6.684915
108.285857,0.320362
107.011503,3.884512
107.266374,1.847855
106.246892,3.629930
106.501762,4.139094
106.246892,2.611601
105.737150,3.629930
105.737150,1.084109
104.207927,2.866183
104.972538,1.084109
104.207927,2.611601
103.953056,1.593273
103.698185,2.611601
103.443315,2.357019
102.933573,3.120766
102.933573,3.629930
103.443315,1.847855
101.404350,2.866183
102.168962,2.357019
101.659220,1.338691
101.404350,1.847855
101.404350,0.829527
99.620255,2.357019
100.639738,0.065780
99.365385,1.338691
99.365385,-1.461712
99.110514,3.629930
98.855643,-0.952548
98.091031,2.866183
97.836161,-1.207130
98.345902,1.847855
96.816678,-2.989205
97.836161,1.593273
97.071549,-2.734623
97.581290,0.065780
96.306937,1.593273
95.542325,0.320362
95.797196,2.611601
94.777713,-0.697966
95.542325,2.866183
94.013101,-1.461712
95.032584,2.611601
94.267972,-2.480041
93.503360,1.847855
93.503360,-1.461712
93.248489,1.593273
92.738748,0.065780
92.229007,0.320362
92.483878,0.320362
91.209524,0.320362
91.974136,-0.188802
90.444913,-1.461712
90.699783,-0.443384
90.699783,-1.716295
90.190042,-0.952548
89.680301,1.084109
89.170559,-1.716295
90.190042,0.829527
88.151077,-1.716295
89.170559,0.574944
87.896206,-1.716295
87.896206,1.338691
87.896206,-3.243787
87.386465,0.065780
