0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y
120.009906,9.230736,120.519647,13.049468,120.264776,11.012811,120.264776,9.485318,120.009906,8.466990,120.009906,7.448661
121.029388,6.939497,119.755035,3.884512,120.009906,1.847855,119.755035,7.957826,120.519647,5.666587,118.990423,5.921169
120.519647,11.267393,120.519647,13.813214,121.029388,11.521975,120.519647,7.957826,121.284259,9.485318,120.009906,8.212408
121.029388,6.939497,120.519647,2.102437,120.519647,4.648258,120.519647,6.430333,121.029388,5.157422,119.245294,9.230736
121.284259,13.304050,121.284259,12.540303,120.774517,8.466990,121.284259,11.267393,121.029388,9.739900,121.029388,8.976154
121.539129,6.684915,121.794000,3.884512,121.539129,2.357019,121.539129,4.902840,121.539129,9.739900,120.519647,8.976154
122.303741,13.304050,121.284259,12.031139,121.794000,8.212408,121.284259,10.249065,121.284259,8.212408,120.774517,7.703243
122.048871,10.249065,122.558612,5.412004,121.284259,9.739900,122.558612,4.648258,123.323224,8.466990,121.284259,5.157422
122.558612,12.794886,122.303741,10.503647,122.048871,8.721572,121.794000,11.521975,122.303741,7.194079,120.519647,5.412004
123.578094,10.503647,122.303741,6.430333,122.558612,8.466990,122.813483,6.430333,122.558612,6.175751,122.303741,6.430333
123.323224,12.285721,123.832965,8.721572,122.558612,5.412004,122.813483,11.776557,123.578094,5.157422,121.539129,5.666587
123.068353,13.304050,123.068353,11.012811,123.068353,10.503647,123.832965,9.485318,123.068353,13.049468,122.558612,8.976154
124.342706,9.739900,124.087836,10.503647,123.578094,6.684915,122.813483,11.012811,123.832965,7.448661,122.813483,9.230736
124.342706,8.976154,123.832965,9.485318,123.323224,9.994482,124.597577,12.540303,123.578094,8.721572,123.068353,11.521975
123.578094,8.976154,124.087836,6.430333,124.597577,4.648258,123.578094,11.521975,123.832965,12.285721,122.813483,13.049468
125.107318,12.031139,125.617059,8.466990,124.597577,8.466990,124.087836,12.540303,124.342706,12.031139,123.323224,8.466990
125.871930,9.994482,125.107318,7.448661,124.342706,10.249065,123.832965,9.739900,124.597577,13.813214,124.342706,8.466990
125.617059,18.904856,125.107318,9.485318,125.107318,13.558632,124.597577,12.285721,125.871930,8.976154,123.323224,8.721572
125.617059,8.466990,125.617059,7.448661,125.107318,12.285721,125.107318,10.249065,125.107318,9.739900,124.852448,9.485318
126.381671,17.631946,125.617059,8.466990,125.107318,9.739900,125.362189,8.466990,125.617059,11.521975,124.597577,11.012811
126.891413,9.230736,126.636542,12.794886,126.126801,12.794886,125.871930,11.267393,126.126801,12.285721,124.597577,11.012811
127.146283,17.122781,127.146283,11.776557,126.126801,11.012811,126.126801,6.939497,125.617059,14.576960,125.362189,9.994482
127.401154,15.595289,126.891413,15.849871,125.871930,12.794886,126.636542,15.849871,126.891413,11.012811,125.617059,9.994482
127.910895,16.104453,127.401154,11.012811,126.891413,11.776557,126.381671,7.703243,126.636542,13.558632,126.126801,17.886528
127.910895,15.595289,127.401154,11.521975,126.636542,7.957826,127.146283,15.849871,126.891413,12.540303,125.871930,8.466990
127.401154,15.595289,128.675507,12.285721,126.636542,11.012811,126.636542,6.684915,127.656024,15.340707,126.891413,18.141110
128.675507,19.668602,128.165766,11.267393,126.891413,6.684915,127.910895,15.340707,127.401154,7.194079,125.362189,5.921169
128.930378,16.104453,128.930378,13.813214,127.146283,17.122781,127.401154,4.648258,128.165766,15.849871,126.891413,13.049468
128.675507,18.650274,128.930378,11.776557,127.656024,10.758229,128.420636,13.049468,128.675507,7.703243,127.146283,7.194079
129.185248,16.613617,128.675507,14.831542,128.420636,19.159438,127.910895,7.448661,128.420636,16.613617,127.146283,16.613617
130.459601,17.122781,130.459601,10.249065,127.910895,6.430333,128.675507,12.285721,128.675507,7.703243,127.656024,6.684915
129.694990,18.650274,130.204731,17.886528,128.930378,16.359035,128.675507,9.739900,128.675507,16.613617,128.165766,13.304050
129.694990,21.705259,130.204731,9.994482,129.440119,7.957826,129.694990,12.285721,129.949860,8.976154,128.675507,8.212408
131.224213,20.432349,130.459601,19.923185,129.440119,12.540303,129.185248,15.849871,128.675507,17.631946,128.675507,17.631946
130.969343,20.177767,130.459601,9.739900,128.675507,8.721572,129.949860,12.285721,129.949860,14.067796,128.930378,16.868199
130.969343,23.741916,131.224213,14.831542,130.459601,14.322378,129.949860,20.941513,130.459601,16.613617,128.675507,12.285721
132.498566,21.705259,130.969343,9.485318,130.204731,8.212408,129.694990,10.758229,129.694990,16.613617,129.440119,14.831542
131.224213,24.251080,131.733955,19.414020,130.459601,16.613617,130.714472,22.214424,130.714472,15.086125,129.949860,14.322378
131.988825,22.723588,131.733955,9.739900,130.969343,22.214424,130.969343,12.540303,130.969343,17.122781,129.440119,19.923185
132.753437,21.196095,132.243696,16.359035,130.969343,14.576960,131.224213,17.631946,131.224213,16.868199,131.733955,14.322378
133.008308,21.959841,132.753437,14.067796,131.479084,22.214424,131.224213,18.395692,132.243696,23.232752,130.204731,20.432349
132.753437,23.741916,131.988825,20.941513,132.243696,15.086125,131.988825,20.177767,131.479084,16.868199,130.969343,17.377364
133.772920,24.760245,133.772920,16.868199,131.733955,22.723588,131.479084,15.595289,132.753437,23.232752,131.224213,20.432349
134.027790,21.959841,133.518049,16.359035,132.498566,15.849871,133.008308,20.686931,132.753437,15.595289,131.479084,19.923185
133.772920,29.342723,133.772920,18.650274,132.243696,22.214424,132.243696,20.941513,133.518049,25.778573,131.224213,22.214424
134.792402,21.196095,135.047273,19.668602,133.263178,14.576960,133.008308,19.414020,132.753437,22.978170,131.988825,21.450677
134.537531,30.361051,134.537531,24.251080,132.498566,23.996498,132.753437,21.196095,133.518049,22.214424,132.498566,22.978170
134.792402,21.450677,135.302143,18.904856,134.537531,18.141110,133.518049,18.904856,133.518049,20.432349,131.988825,21.450677
135.557014,27.306066,135.302143,24.760245,133.518049,21.450677,133.772920,17.886528,133.008308,23.232752,133.772920,21.705259
136.066755,20.432349,135.811885,19.414020,134.027790,23.741916,134.027790,21.196095,135.047273,23.232752,132.753437,19.414020
